기관명,병합시스템명,시스템명,등급,DR유무,이중화유무,예산사업No,세부사업명,단위사업명,국회확정금액(천원),매칭방법,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널
한국산업인력공단,자격정보시스템(Q-Net),출제정보시스템,2,N,Y,14,한국산업인력공단(정보화),한국산업인력공단출연,"6,608,000",기관매핑,혼합,자격·평가,업무처리시스템,공단,N,중,웹,혼합,자격·평가,업무처리시스템,공단,N,중,웹
한국고용정보원,한국고용정보원 내부업무시스템,EA관리시스템,4,N,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,내부,행정지원,내부인프라,정보원,N,저,웹,내부,행정지원,내부인프라,정보원,N,저,웹
한국고용정보원,고용 행정처리시스템,가사랑,4,N,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,혼합,고용서비스,업무처리시스템,정보원,N,중,웹,혼합,고용서비스,업무처리시스템,정보원,N,중,웹
한국고용정보원,한국고용정보원 내부업무시스템,경영정보시스템,3,N,N,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,내부,행정지원,업무처리시스템,정보원,N,저,웹,내부,행정지원,업무처리시스템,정보원,N,저,웹
한국고용정보원,홈페이지,고용24,1,Y,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,대국민,고용서비스,업무처리시스템,정보원,N,중,복합,대국민,고용서비스,업무처리시스템,정보원,N,중,복합
한국고용정보원,고용 행정처리시스템,고용보험시스템,2,Y,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,혼합,사회보험,금융/기금,정보원,Y,고,웹,혼합,사회보험,금융/기금,정보원,Y,고,웹
한국고용정보원,고용 행정처리시스템,고용복지+센터 업무시스템,3,N,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,내부,고용서비스,업무처리시스템,정보원,N,중,웹,내부,고용서비스,업무처리시스템,정보원,N,중,웹
한국고용정보원,고용 행정처리시스템,고용서비스 통합시스템,4,N,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,혼합,고용서비스,업무처리시스템,정보원,N,중,웹,혼합,고용서비스,업무처리시스템,정보원,N,중,웹
한국고용정보원,고용 행정처리시스템,고용서비스성과관리시스템,4,N,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,내부,고용서비스,데이터/분석,정보원,N,중,웹,내부,고용서비스,데이터/분석,정보원,N,중,웹
한국고용정보원,고용 행정처리시스템,고용정보통합분석시스템,4,N,Y,11,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),국가일자리정보플랫폼 구축·운영(정보화),"11,101,000",키워드매핑,내부,고용서비스,데이터/분석,정보원,N,저,웹,내부,고용서비스,데이터/분석,정보원,N,저,웹
한국고용정보원,고용 행정처리시스템,고용조사 분석시스템,4,N,N,11,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),국가일자리정보플랫폼 구축·운영(정보화),"11,101,000",키워드매핑,내부,고용서비스,데이터/분석,정보원,N,저,웹,내부,고용서비스,데이터/분석,정보원,N,저,웹
한국고용정보원,한국고용정보원 내부업무시스템,그룹웨어,3,N,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,내부,행정지원,업무처리시스템,정보원,N,저,웹,내부,행정지원,업무처리시스템,정보원,N,저,웹
한국고용정보원,고용 행정처리시스템,데이터관리포털,3,N,N,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,내부,행정지원,데이터/분석,정보원,N,저,웹,내부,행정지원,데이터/분석,정보원,N,저,웹
한국고용정보원,고용 행정처리시스템,바로원시스템,2,Y,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,혼합,고용서비스,업무처리시스템,정보원,N,고,웹,혼합,고용서비스,업무처리시스템,정보원,N,고,웹
한국고용정보원,고용 행정처리시스템,외국인고용관리시스템,2,Y,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,혼합,외국인고용,업무처리시스템,정보원,N,고,웹,혼합,외국인고용,업무처리시스템,정보원,N,고,웹
한국고용정보원,고용 행정처리시스템,워크넷,2,Y,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,대국민,고용서비스,업무처리시스템,정보원,N,중,복합,대국민,고용서비스,업무처리시스템,정보원,N,중,복합
한국고용정보원,고용 행정처리시스템,일자리사업 통합정보시스템,2,Y,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,혼합,고용서비스,업무처리시스템,정보원,N,중,웹,혼합,고용서비스,업무처리시스템,정보원,N,중,웹
한국고용정보원,고용 행정처리시스템,일자리사업평가분석시스템(EPAS),4,N,Y,11,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),국가일자리정보플랫폼 구축·운영(정보화),"11,101,000",키워드매핑,내부,고용서비스,데이터/분석,정보원,N,중,웹,내부,고용서비스,데이터/분석,정보원,N,중,웹
한국고용정보원,홈페이지,임금직업정보시스템,미부여,N,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,대국민,고용서비스,데이터/분석,정보원,N,저,웹,대국민,고용서비스,데이터/분석,정보원,N,저,웹
한국고용정보원,홈페이지,지역일자리맵,4,N,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,대국민,고용서비스,데이터/분석,정보원,N,저,웹,대국민,고용서비스,데이터/분석,정보원,N,저,웹
한국고용정보원,고용 행정처리시스템,직업능력개발정보망,2,Y,Y,3,고용전산망관리(정보화),고용전산망관리(정보화),"39,470,000",키워드매핑,혼합,직업훈련·교육,업무처리시스템,정보원,N,중,웹,혼합,직업훈련·교육,업무처리시스템,정보원,N,중,웹
